series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T38.A.CF.,T38,Conversion factors,12,C,Algeria,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,12,C,Algeria,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,16,C,American Samoa,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,16,C,American Samoa,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,24,C,Angola,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.03999999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,24,C,Angola,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.03999999,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,28,C,Antigua and Barbuda,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,28,C,Antigua and Barbuda,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.83959972,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,32,C,Argentina,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.25199991,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,32,C,Argentina,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.29399991,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,36,C,Australia,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1.59909915,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,36,C,Australia,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1.61849975,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,40,C,Austria,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,0.09999996,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,40,C,Austria,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,0.09999996,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,44,C,Bahamas,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,1.41229915,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,44,C,Bahamas,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,1.41049957,,CF,Conversion Factor,A,Actual
T38.A.CF.,T38,Conversion factors,48,C,Bahrain,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,,2.1,,CF,Conversion Factor,E,Estimate
T38.A.CF.,T38,Conversion factors,48,C,Bahrain,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,,2.1,,CF,Conversion Factor,E,Estimate
