series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T36.A.V.$,T36,"Total trade - value, volume, unit value",24,C,Angola,1945,A,0,194552,01/01/1945,M,Imports,1,Total,0,World,,$,530.787,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",24,C,Angola,1945,A,0,194552,01/01/1945,X,Exports,1,Total,0,World,,$,637.562,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",16,C,American Samoa,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,0.191,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",16,C,American Samoa,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,0.678,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",24,C,Angola,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,799,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",24,C,Angola,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,962.251,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",32,C,Argentina,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,588,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",32,C,Argentina,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,1168,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",68,C,Bolivia (Plurinational State of),1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,51.399,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",68,C,Bolivia (Plurinational State of),1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,73.599,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",76,C,Brazil,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,674,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",76,C,Brazil,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,972,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",84,C,Belize,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,5.221,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",84,C,Belize,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,6.78,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",104,C,Myanmar,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,20.20349265,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",104,C,Myanmar,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,58.55748249,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",152,C,Chile,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,,$,216.199,M,V,Value,A,Actual
T36.A.V.$,T36,"Total trade - value, volume, unit value",152,C,Chile,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,,$,196.399,M,V,Value,A,Actual
