Title;2010;2011;2012;2013;2014;2015;2016;2017;2018
"Population au 1er Juillet";"10565704";"10674420";"10784255";"10895219";"11012486";"11162666";"11304483";"11434994";"11551448"
"00-04";"853120";"874510";"896070";"956823";"974367";"988341";"1057906";"1088951";"1110872"
"05-09";"815840";"820930";"824640";"851267";"850908";"863155";"893438";"916643";"941708"
"10-14";"827884";"815700";"811610";"813960";"791382";"802780";"805398";"817281";"831261"
"15-19";"953501";"921120";"888330";"855652";"829335";"841295";"801924";"792875";"787176"
"20-24";"1043574";"1035740";"1017370";"936059";"927469";"940659";"887393";"861121";"835274"
"25-29";"1373220";"1017960";"1025840";"929613";"936729";"949863";"920248";"916112";"908688"
"30-34";"873107";"898970";"921880";"959153";"986023";"999715";"970488";"946394";"920850"
"35-39";"738964";"758410";"781580";"808081";"818834";"830323";"886447";"921113";"946695"
"40-44";"712572";"711790";"708850";"720884";"729493";"739691";"751607";"764321";"780749"
"45-49";"655558";"671350";"684050";"671498";"684494";"694052";"694780";"701261";"708328"
"50-54";"575877";"593390";"605570";"628253";"652073";"661099";"666469";"667796";"667817"
"55-59";"444465";"473190";"497970";"511531";"536367";"543798";"579393";"600718";"618410"
"60-64";"309624";"330520";"352350";"408171";"426367";"432256";"466135";"480729";"494972"
"65-69";"246840";"247920";"252290";"261433";"262875";"266496";"311467";"342140";"371244"
"70-74";"232295";"228450";"221750";"218515";"221153";"224249";"219781";"219297";"223272"
"75-79";"149860";"164710";"172930";"162458";"167248";"169619";"170737";"176061";"180443"
"80 & +";"108898";"109090";"114490";"201851";"212211";"215276";"220872";"222181";"223686"
